"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Latvia","lva","Europe",2021-12-17,2021,2449958,1299934,1241666,184013,10100,9379,131.23,69.63,66.51,9.86,5024,1132,0.061,1866934,31298,58.432,5.4,75.67,"2"
"Lebanon","lbn","Asia",2021-12-18,2021,3904931,2131113,1773818,NA,6675,15986,57.69,31.48,26.2,NA,2362,11478,0.17,6769151,10016,67.8,-3.79,78.23,"2"
"Lesotho","lso","Africa",2021-12-16,2021,688097,648817,641007,NA,NA,6527,31.87,30.05,29.69,NA,3023,2768,0.128,2159067,2621,5.66,3.02,57.04,"3"
"Liberia","lbr","Africa",2021-12-15,2021,880313,784838,755263,NA,NA,39207,16.99,15.15,14.58,NA,7569,25624,0.495,5180208,1365,7.071,2.17,65.83,"3"
"Libya","lby","Africa",2021-12-15,2021,2554207,1796814,757393,NA,NA,11154,36.71,25.82,10.88,NA,1603,5970,0.086,6958538,13840,96.309,4.4,73.67,"3"
"Liechtenstein","lie","Europe",2021-12-16,2021,59189,26001,25481,8580,572,648,154.73,67.97,66.61,22.43,16939,18,0.047,38254,NA,NA,NA,NA,NA
"Lithuania","ltu","Europe",2021-12-18,2021,3968785,1901163,1814988,517557,4672,13944,147.55,70.68,67.48,19.24,5184,1607,0.06,2689862,38117,102.529,3.22,75.75,"1"
"Luxembourg","lux","Europe",2021-12-12,2021,973411,454687,NA,122614,499,5155,153.34,71.63,NA,19.31,8120,672,0.106,634814,113004,71.736,1.67,82.26,NA
"Macedonia, FYR","mkd","Europe",2021-12-12,2021,1724797,836816,804518,83463,NA,1902,82.82,40.18,38.63,4.01,913,503,0.024,2082662,16510,34.384,4,77.02,"2"
"Madagascar","mdg","Africa",2021-12-06,2021,742069,589003,541160,NA,NA,8090,2.61,2.07,1.9,NA,285,8047,0.028,28427333,1548,44.01,2.46,64.87,"3"
"Malawi","mwi","Africa",2021-12-18,2021,1639533,1355692,651693,NA,10776,14399,8.34,6.9,3.32,NA,733,14386,0.073,19647681,1029,20.225,3.52,65.04,"3"
"Malaysia","mys","Asia",2021-12-18,2021,55074545,25940142,25537200,3792086,2046,58206,168.03,79.14,77.91,11.57,1776,3155,0.01,32776195,27805,911.343,4.67,75.34,"1"
"Maldives","mdv","Asia",2021-12-16,2021,784616,396358,366165,22093,659,599,144.33,72.91,67.36,4.06,1102,30,0.006,543620,15216,8.272,11.5,82.66,"2"
"Mali","mli","Africa",2021-12-16,2021,989985,843144,343162,NA,NA,3252,4.75,4.04,1.65,NA,156,2625,0.013,20855724,2230,46.511,2.9,63.65,"3"
"Malta","mlt","Europe",2021-12-17,2021,1007250,437712,434501,167322,2136,2734,195.17,84.81,84.19,32.42,5297,132,0.026,442790,40243,17.819,4.53,81.6,"1"
"Mauritania","mrt","Africa",2021-12-16,2021,1820362,1110533,709829,NA,5374,3067,38.12,23.26,14.87,NA,642,1590,0.033,4775110,5020,23.97,3.26,71.46,"3"
"Mauritius","mus","Africa",2021-11-23,2021,1875132,916524,914936,NA,NA,12836,147.25,71.97,71.85,NA,10080,666,0.052,1273428,20525,26.138,5.22,75.31,"2"
"Mexico","mex","America North",2021-12-16,2021,139820373,81785946,66586509,NA,968736,619845,107.34,62.79,51.12,NA,4758,369125,0.283,130262220,18691,2434.774,2.09,75.8,"2"
"Moldova","mda","Europe",2021-12-17,2021,1713249,NA,964400,NA,NA,5305,42.58,NA,23.97,NA,1318,NA,NA,4024025,13076,52.617,5.89,73.31,"2"
"Monaco","mco","Europe",2021-09-16,2021,49980,26672,23308,NA,NA,103,126.47,67.49,58.98,NA,2606,32,0.081,39520,70021,2.767,1.04,NA,NA
"Mongolia","mng","Asia",2021-12-18,2021,4424532,2264410,2160122,NA,328,849,132.9,68.01,64.88,NA,255,243,0.007,3329282,11830,39.386,5.75,69.68,"2"
"Montenegro","mne","Europe",2021-12-18,2021,548154,281270,266884,NA,908,735,87.28,44.78,42.49,NA,1170,234,0.037,628051,19939,12.522,5.43,76.98,"2"
"Morocco","mar","Africa",2021-12-14,2021,49470641,24573352,22895600,NA,NA,47004,132.47,65.8,61.31,NA,1259,4333,0.012,37344787,7156,267.223,2.89,74.85,"2"
"Mozambique","moz","Africa",2021-12-15,2021,12025232,7241597,4783635,NA,NA,139374,37.39,22.52,14.87,NA,4333,65603,0.204,32163045,1235,39.713,1.99,60.79,"3"
"Myanmar","mmr","Asia",2021-11-30,2021,28707770,16849172,11858598,NA,NA,268907,52.38,30.74,21.64,NA,4907,141322,0.258,54806014,4769,261.393,0.78,69.53,"3"
"Namibia","nam","Africa",2021-12-15,2021,713598,387413,326185,NA,NA,2796,27.58,14.97,12.61,NA,1081,1553,0.06,2587344,8663,22.415,0.43,67.94,"3"
"Nauru","nru","Asia",2021-08-31,2021,14863,7612,7251,NA,NA,2,136.7,70.01,66.69,NA,184,2,0.018,10873,11395,0.124,-1.04,NA,NA
"Nepal","npl","Asia",2021-12-06,2021,19157444,10431659,8725785,NA,NA,119991,64.56,35.15,29.4,NA,4044,78859,0.266,29674920,3361,99.737,2.87,72.11,"2"
"Netherlands","nld","Europe",2021-12-15,2021,24854421,NA,NA,NA,NA,8985,144.73,NA,NA,NA,523,NA,NA,17173094,56038,962.349,2.7,82.08,NA
"New Zealand","nzl","Asia",2021-12-18,2021,7999132,3963513,3798165,237454,NA,18160,156.15,77.37,74.15,4.64,3545,2108,0.041,4860642,42920,208.62,2.08,82.21,"1"
"Nicaragua","nic","America North",2021-12-15,2021,7308467,4628897,2679570,NA,NA,67604,109.04,69.06,39.98,NA,10087,41522,0.62,6702379,5244,35.147,1.64,79.7,"2"
"Niger","ner","Africa",2021-11-28,2021,971636,507223,464413,NA,NA,614,3.87,2.02,1.85,NA,24,81,0,25130810,1229,30.877,8.68,63.93,"3"
"Nigeria","nga","Africa",2021-12-15,2021,12214538,8181113,4031004,NA,NA,152408,5.78,3.87,1.91,NA,721,123872,0.059,211400704,4916,1039.2,-0.22,66,"3"
"Norway","nor","Europe",2021-12-16,2021,9388997,4269323,3897475,1222199,89264,42812,171.78,78.11,71.31,22.36,7833,1727,0.032,5465629,66160,361.605,3.37,82.89,"1"
