"","name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy","calcul_vac_100hab","match"
"140","North America","north america","continent",2021-11-12,2021,719198486,375253547,318965707,34224308,2600929,2062379,120.55,62.9,53.47,5.74,3457,651376,0.109,NA,NA,NA,NA,NA,NA,NA
"141","Macedonia, FYR","mkd","pays",2021-11-12,2021,NA,NA,NA,NA,NA,3146,NA,NA,NA,NA,1511,2435,0.117,2082662,16510,34384343066,4,77.02,NA,NA
"142","Norway","nor","pays",2021-11-12,2021,8246513,4223680,3778720,244113,14771,17156,150.88,77.28,69.14,4.47,3139,1027,0.019,5465629,66160,361604669091,3.37,82.89,150.88,"Correct"
"143","Oceania","oceania","continent",2021-11-12,2021,47580171,24941315,22383399,255457,183771,169807,110.09,57.71,51.79,0.59,3929,47259,0.109,NA,NA,NA,NA,NA,NA,NA
"144","Oman","omn","pays",2021-11-12,2021,NA,NA,NA,NA,NA,8222,NA,NA,NA,NA,1574,7582,0.145,5223376,26274,137237978324,4.43,77.99,NA,NA
"145","Pakistan","pak","pays",2021-11-12,2021,118333360,77877215,47804912,NA,1089429,1076112,52.55,34.58,21.23,NA,4778,556883,0.247,225199929,4569,1029010060700,2.06,67.48,52.55,"Correct"
"146","Palestine","pse","pays",2021-11-12,2021,NA,NA,NA,NA,NA,9477,NA,NA,NA,NA,1815,19774,0.379,5222756,5578,29134715317,4.53,77.51,NA,NA
"147","Panama","pan","pays",2021-11-12,2021,5492619,2985652,2389652,117315,12930,3368,125.36,68.14,54.54,2.68,769,845,0.019,4381583,28130,123255319258,3.61,80,125.36,"Correct"
"148","Papua New Guinea","png","pays",2021-11-12,2021,NA,NA,NA,NA,NA,5196,NA,NA,NA,NA,570,2530,0.028,9119005,4156,37899828171,2.11,59.34,NA,NA
"149","Paraguay","pry","pays",2021-11-12,2021,5746121,3180418,2508250,57453,NA,61335,79.59,44.05,34.74,0.8,8496,36154,0.501,7219641,12718,91816412732,2.6,76.6,79.59,"Correct"
"150","Peru","per","pays",2021-11-12,2021,37936078,21030946,16539091,366041,166471,245094,113.72,63.04,49.58,1.1,7347,148465,0.445,33359416,12146,405187835766,4.12,81.23,113.72,"Correct"
"151","Philippines","phl","pays",2021-11-12,2021,NA,NA,NA,NA,NA,761990,NA,NA,NA,NA,6862,NA,NA,111046910,8371,929583556006,4.91,70.25,NA,NA
"152","Poland","pol","pays",2021-11-12,2021,39854041,20458397,20134376,1534956,96219,63591,105.44,54.13,53.27,4.06,1682,17544,0.046,37797000,33477,1265331380483,4.65,78.71,105.44,"Correct"
"153","Portugal","prt","pays",2021-11-12,2021,NA,NA,NA,NA,NA,43471,NA,NA,NA,NA,4275,325,0.003,10167923,33626,341901783772,5.01,82.2,NA,NA
"154","Qatar","qat","pays",2021-11-12,2021,4876778,NA,NA,NA,5942,3397,166.41,NA,NA,NA,1159,NA,NA,2930524,89352,261849576198,3.35,80.73,166.41,"Correct"
"155","Romania","rou","pays",2021-11-12,2021,13611328,NA,6737499,NA,97427,73832,71.16,NA,35.22,NA,3860,34081,0.178,19127772,30683,586902936094,4.81,75.7,71.16,"Correct"
"156","Russia","rus","pays",2021-11-12,2021,112305009,60155620,50587097,2338537,800054,528802,76.97,41.23,34.67,1.6,3624,346458,0.237,145912022,27197,3968310654075,3.83,72.81,76.97,"Correct"
"157","Rwanda","rwa","pays",2021-11-12,2021,NA,NA,NA,NA,NA,143820,NA,NA,NA,NA,10833,115510,0.87,13276517,2248,29843548535,4.45,69.74,NA,NA
"158","St. Kitts and Nevis","kna","pays",2021-11-12,2021,50872,26215,NA,NA,NA,38,95.01,48.96,NA,NA,710,17,0.032,53546,20653,1105894447,8.89,NA,95.01,"Correct"
"159","St. Lucia","lca","pays",2021-11-12,2021,96183,52563,43620,NA,376,242,52.16,28.5,23.65,NA,1312,100,0.054,184401,12769,2354642672,10.05,76.11,52.16,"Correct"
"160","St. Vincent and the Grenadines","vct","pays",2021-11-12,2021,48576,28278,20298,NA,23,362,43.66,25.41,18.24,NA,3253,174,0.156,111269,11928,1327224219,4.84,72.78,43.66,"Correct"
"161","Samoa","wsm","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1341,NA,NA,NA,NA,6700,1029,0.514,200144,5721,1145017194,0.82,73.4,NA,NA
"162","San Marino","smr","pays",2021-11-12,2021,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,441,1,0.003,34010,56609,1925277576,3.06,NA,NA,NA
"163","Sao Tome and Principe","stp","pays",2021-11-12,2021,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,757,76,0.034,223364,3651,815604322,3.15,67.67,NA,NA
"164","Saudi Arabia","sau","pays",2021-11-12,2021,46637027,24379243,21953463,NA,24994,52374,131.96,68.98,62.12,NA,1482,13525,0.038,35340680,44534,1573877832885,1.99,77.43,131.96,"Correct"
"165","Senegal","sen","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1720,NA,NA,NA,NA,100,1164,0.007,17196308,3408,58608161608,3.16,69.16,NA,NA
"166","Serbia","srb","pays",2021-11-12,2021,NA,NA,NA,NA,NA,25055,NA,NA,NA,NA,3646,4123,0.06,8697547,19227,167231630840,4.92,76.31,NA,NA
"167","Seychelles","syc","pays",2021-11-12,2021,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,3124,23,0.023,98910,25346,2506924974,3.33,73.92,NA,NA
"168","Sierra Leone","sle","pays",2021-11-12,2021,NA,NA,NA,NA,NA,17329,NA,NA,NA,NA,2129,13477,0.166,8141343,1658,13500598872,1.38,62.14,NA,NA
"169","Singapore","sgp","pays",2021-11-12,2021,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,10,36,0.001,5896684,94610,557882618041,2.04,85.42,NA,NA
"170","Sint Maarten (Dutch part)","sxm","pays",2021-11-12,2021,51155,26640,24515,NA,NA,30,117.81,61.35,56.46,NA,691,17,0.039,NA,NA,NA,NA,NA,NA,NA
"171","Slovak Republic","svk","pays",2021-11-12,2021,4876539,2547440,2329099,NA,9434,4669,89.3,46.65,42.65,NA,855,3356,0.061,5460726,31634,172742263638,4.31,78.01,89.3,"Correct"
"172","Slovenia","svn","pays",2021-11-12,2021,2501105,1207380,1130645,163080,21711,13942,120.32,58.08,54.39,7.85,6707,1736,0.084,2078723,37825,78628339641,4.2,81.71,120.32,"Correct"
"173","Solomon Islands","slb","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1482,NA,NA,NA,NA,2105,1039,0.148,703995,2477,1743452809,2.25,69.1,NA,NA
"174","Somalia","som","pays",2021-11-12,2021,NA,NA,NA,NA,NA,34098,NA,NA,NA,NA,2084,27245,0.167,16359500,673,11012785485,0.29,59.83,NA,NA
"175","South Africa","zaf","pays",2021-11-12,2021,23832368,16166105,13324316,NA,NA,114551,39.69,26.92,22.19,NA,1908,64712,0.108,60041996,11626,698031671445,0.44,67.43,39.69,"Correct"
"176","South America","south america","continent",2021-11-12,2021,552351098,306298702,235934152,21474415,2768690,2423164,127.19,70.53,54.33,4.95,5580,889791,0.205,NA,NA,NA,NA,NA,NA,NA
"177","South Korea","kor","pays",2021-11-12,2021,81492084,41948159,40043233,996857,372797,257485,158.84,81.76,78.05,1.94,5019,60430,0.118,51305184,43897,2252157006501,2.74,83.3,158.84,"Correct"
"178","South Sudan","ssd","pays",2021-11-12,2021,NA,NA,NA,NA,NA,3595,NA,NA,NA,NA,316,3071,0.027,11381377,1800,20482007813,3.47,60.26,NA,NA
"179","Spain","esp","pays",2021-11-12,2021,NA,NA,NA,NA,NA,149512,NA,NA,NA,NA,3198,8914,0.019,46745211,38778,1812675891643,4.25,83.58,NA,NA
"180","Sri Lanka","lka","pays",2021-11-12,2021,NA,NA,NA,NA,NA,30156,NA,NA,NA,NA,1403,17360,0.081,21497306,12957,278539782821,3.47,78.14,NA,NA
"181","Sudan","sdn","pays",2021-11-12,2021,NA,NA,NA,NA,NA,33000,NA,NA,NA,NA,735,33229,0.074,44909351,3638,163377515606,-1.43,71.25,NA,NA
"182","Suriname","sur","pays",2021-11-12,2021,463705,253654,210051,NA,1485,1083,78.36,42.86,35.49,NA,1830,303,0.051,591798,14060,8320503520,0.32,72.51,78.36,"Correct"
"183","Sweden","swe","pays",2021-11-12,2021,NA,NA,NA,NA,NA,37041,NA,NA,NA,NA,3646,5057,0.05,10160159,51272,520927569467,1.98,83.08,NA,NA
"184","Switzerland","che","pays",2021-11-12,2021,11298155,5800852,5635959,40958,28162,16644,129.63,66.56,64.67,0.47,1910,4659,0.053,8715494,67374,587199093893,1.58,84.55,129.63,"Correct"
"185","Syria","syr","pays",2021-11-12,2021,NA,NA,NA,NA,NA,19301,NA,NA,NA,NA,1056,5524,0.03,18275704,3984,72803383235,1.68,73.34,NA,NA
"186","Taiwan","twn","pays",2021-11-12,2021,27479599,17808765,9670834,NA,269334,199907,115.19,74.65,40.54,NA,8380,53140,0.223,23855008,57024,1360312454176,2.98,80.63,115.19,"Correct"
"187","Tajikistan","tjk","pays",2021-11-12,2021,NA,NA,NA,NA,NA,22003,NA,NA,NA,NA,2257,8419,0.086,9749625,3568,34790505680,2.59,71.17,NA,NA
"188","Tanzania","tza","pays",2021-11-12,2021,NA,NA,NA,NA,NA,13976,NA,NA,NA,NA,227,14452,0.023,61498438,2602,160007895660,1.59,68.41,NA,NA
"189","Thailand","tha","pays",2021-11-12,2021,83320621,44809613,35800674,2710334,788090,666357,119.11,64.06,51.18,3.87,9526,200889,0.287,69950844,17698,1237996861657,5.45,78.96,119.11,"Correct"
"190","Timor-Leste","tls","pays",2021-11-12,2021,NA,NA,NA,NA,NA,5882,NA,NA,NA,NA,4377,3563,0.265,1343875,2904,3902267952,1.68,71.74,NA,NA
"191","Togo","tgo","pays",2021-11-12,2021,1453570,971322,482248,NA,NA,5809,17.14,11.46,5.69,NA,685,2933,0.035,8478242,1585,13435047467,1.98,65.61,17.14,"Correct"
"192","Tonga","ton","pays",2021-11-12,2021,NA,NA,NA,NA,NA,776,NA,NA,NA,NA,7269,624,0.584,106759,6212,663211894,2.63,72.21,NA,NA
"193","Trinidad and Tobago","tto","pays",2021-11-12,2021,1294218,669197,625021,NA,2962,3055,92.22,47.68,44.54,NA,2177,1031,0.073,1403374,24421,34271521482,3.58,74.75,92.22,"Correct"
"194","Tunisia","tun","pays",2021-11-12,2021,9791690,5802387,4745923,243348,30773,36496,82.04,48.61,39.76,2.04,3058,15360,0.129,11935764,9983,119160007212,1.5,79.12,82.04,"Correct"
"195","Turkey","tur","pays",2021-11-12,2021,118219170,55793328,49554129,12871713,189268,142250,139.01,65.61,58.27,15.14,1673,28775,0.034,85042736,29809,2535062468512,2.29,79.96,139.01,"Correct"
"196","Uganda","uga","pays",2021-11-12,2021,NA,NA,NA,NA,NA,83732,NA,NA,NA,NA,1777,55303,0.117,47123533,2136,100650940241,1.93,67.29,NA,NA
"197","Ukraine","ukr","pays",2021-11-12,2021,20708263,12121802,8607141,NA,299854,225774,47.64,27.89,19.8,NA,5194,121780,0.28,43466822,12894,560460420739,3.81,71.01,47.64,"Correct"
"198","United Arab Emirates","are","pays",2021-11-12,2021,21477305,9781743,8812470,2883092,42818,28896,214.96,97.9,88.2,28.86,2892,8511,0.085,9991083,61292,612376995226,-0.46,73.9,214.96,"Correct"
"199","United Kingdom","gbr","pays",2021-11-12,2021,108693992,50526039,45986536,12181417,414160,430072,159.36,74.08,67.42,17.86,6305,46556,0.068,68207114,43908,2994810557900,4.59,81.35,159.36,"Correct"
"200","United States","usa","pays",2021-11-12,2021,445790216,228625497,194440699,31477598,1901794,1378586,134.27,68.86,58.56,9.48,4152,491752,0.148,332915074,63517,21145722037487,2.92,78.7,133.91,"Incorrect"
"201","Uruguay","ury","pays",2021-11-12,2021,6727945,2742176,2646895,1338874,12463,5709,193.05,78.68,75.95,38.42,1638,848,0.024,3485152,20797,72482053762,2.76,77.61,193.05,"Correct"
"202","Uzbekistan","uzb","pays",2021-11-12,2021,29136572,15199786,NA,NA,315089,264230,85.86,44.79,NA,NA,7786,151552,0.447,33935765,7203,244451080400,3.5,70.9,85.86,"Correct"
"203","Vanuatu","vut","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1256,NA,NA,NA,NA,3994,949,0.302,314464,2802,881127477,1.89,65.27,NA,NA
"204","Venezuela","ven","pays",2021-11-12,2021,NA,NA,NA,NA,NA,131562,NA,NA,NA,NA,4583,106568,0.371,28704947,5285,151709023052,-2.64,75.18,NA,NA
"205","Vietnam","vnm","pays",2021-11-12,2021,97831758,64073710,33758048,NA,1274306,1408786,99.66,65.27,34.39,NA,14351,567594,0.578,98168829,8648,848968527469,6.23,74.88,99.66,"Correct"
"206","Wallis and Futuna","wlf","pays",2021-11-12,2021,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1713,4,0.036,NA,NA,NA,NA,NA,NA,NA
"207","World","world","continent",2021-11-12,2021,7469973820,4019603731,3184677983,170510433,33009587,31874447,94.86,51.04,40.44,2.17,4048,9925200,0.126,NA,NA,NA,NA,NA,NA,NA
"208","Yemen","yem","pays",2021-11-12,2021,NA,NA,NA,NA,NA,15349,NA,NA,NA,NA,503,15084,0.049,30490639,2372,72320693107,0.1,68.25,NA,NA
"209","Zambia","zmb","pays",2021-11-12,2021,NA,NA,NA,NA,NA,5320,NA,NA,NA,NA,281,NA,NA,18920657,3173,60027026593,-1.91,64.61,NA,NA
"210","Zimbabwe","zwe","pays",2021-11-12,2021,6130358,3443813,2686545,NA,28680,20000,40.62,22.82,17.8,NA,1325,12485,0.083,15092171,2587,39046735435,1.87,62.51,40.62,"Correct"
