"","name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy","calcul_vac_100hab","match"
"33","Burundi","bdi","pays",2021-11-12,2021,1159,NA,238,NA,NA,40,0.01,NA,0,NA,3,7,0,12255429,719,8813046067,0.69,62.91,0.01,"Correct"
"34","Cambodia","khm","pays",2021-11-12,2021,28210938,14045675,13199809,2018605,28349,34826,166.47,82.88,77.89,11.91,2055,16468,0.097,16946446,4344,73620827108,4.93,70.87,166.47,"Correct"
"35","Cameroon","cmr","pays",2021-11-12,2021,520214,432625,175829,NA,9890,1775,1.91,1.59,0.65,NA,65,1536,0.006,27224262,3482,94789307542,1.73,64.51,1.91,"Correct"
"36","Canada","can","pays",2021-11-12,2021,59434915,29985593,28638949,810373,89294,61919,156.13,78.77,75.23,2.13,1627,13803,0.036,38067913,47650,1813949801645,3.54,82.46,156.13,"Correct"
"37","Cape Verde","cpv","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1503,NA,NA,NA,NA,2675,164,0.029,561901,6368,3578314125,4.71,76.57,NA,NA
"38","Cayman Islands","cym","pays",2021-11-12,2021,119435,57357,55157,NA,NA,418,179.61,86.25,82.95,NA,6286,67,0.101,NA,NA,NA,NA,NA,NA,NA
"39","Central African Republic","caf","pays",2021-11-12,2021,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,3,16,0,4919987,943,4639221714,2.98,53.63,NA,NA
"40","Chad","tcd","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1207,NA,NA,NA,NA,71,685,0.004,16914985,1502,25408321423,-0.34,61.22,NA,NA
"41","Chile","chl","pays",2021-11-12,2021,39107951,16703299,15732053,7245183,195221,149574,203.56,86.94,81.89,37.71,7785,15042,0.078,19212362,24346,467746480632,2.76,80.28,203.56,"Correct"
"42","China","chn","pays",2021-11-12,2021,2372713000,NA,1073845000,49440000,8681000,8726714,164.29,NA,74.35,3.42,6043,2002548,0.139,1444216102,17744,25626456257369,5.33,77.87,164.29,"Correct"
"43","Colombia","col","pays",2021-11-12,2021,51316129,33019141,22759122,NA,401725,364994,100.1,64.41,44.39,NA,7120,274334,0.535,51265841,14043,719919723390,2.69,80.84,100.1,"Correct"
"44","Comoros","com","pays",2021-11-12,2021,NA,NA,NA,NA,NA,2158,NA,NA,NA,NA,2429,423,0.048,888456,2887,2564775335,-0.1,69.51,NA,NA
"45","Congo, Rep.","cog","pays",2021-11-12,2021,NA,NA,NA,NA,NA,6279,NA,NA,NA,NA,1110,6143,0.109,5657017,3230,18271843761,-1.46,63.68,NA,NA
"46","Costa Rica","cri","pays",2021-11-12,2021,NA,NA,NA,NA,NA,21906,NA,NA,NA,NA,4263,4948,0.096,5139053,19417,99784881674,2.23,80.21,NA,NA
"47","Cote d'Ivoire","civ","pays",2021-11-12,2021,NA,NA,NA,NA,NA,44961,NA,NA,NA,NA,1662,25826,0.095,27053629,5366,145172739790,3.77,63.99,NA,NA
"48","Croatia","hrv","pays",2021-11-12,2021,3817390,2024193,1851543,NA,NA,20226,93.53,49.59,45.36,NA,4955,12162,0.298,4081657,27836,113616462429,5.82,79.13,93.53,"Correct"
"49","Cuba","cub","pays",2021-11-12,2021,27039584,10080202,8307956,NA,187078,111039,238.92,89.07,73.41,NA,9811,6698,0.059,11317498,10179,115195724719,2.11,78.75,238.92,"Correct"
"50","Curacao","cuw","pays",2021-11-12,2021,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,1001,68,0.041,NA,NA,NA,NA,NA,NA,NA
"51","Cyprus","cyp","pays",2021-11-12,2021,NA,NA,NA,NA,NA,2091,NA,NA,NA,NA,2334,412,0.046,1215588,37790,45936740708,2.72,82.34,NA,NA
"52","Czech Republic","cze","pays",2021-11-12,2021,12784741,6420087,6191167,507060,54319,37673,119.21,59.86,57.73,4.73,3513,13186,0.123,10724553,39892,427829124144,4.02,79.77,119.21,"Correct"
"53","Congo, Dem. Rep.","cod","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1469,NA,NA,NA,NA,16,883,0.001,92377986,1068,98630619441,1.56,63.63,NA,NA
"54","Denmark","dnk","pays",2021-11-12,2021,NA,4510829,4425526,462837,NA,16641,NA,77.59,76.13,7.96,2863,3382,0.058,5813302,57128,332102152627,2.54,81.25,NA,NA
"55","Djibouti","dji","pays",2021-11-12,2021,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,270,271,0.027,1002197,5444,5456188032,2.58,69.25,NA,NA
"56","Dominica","dma","pays",2021-11-12,2021,53955,28207,25748,NA,NA,93,74.76,39.08,35.68,NA,1289,31,0.043,72172,10631,767251752,5.84,NA,74.76,"Correct"
"57","Dominican Republic","dom","pays",2021-11-12,2021,13556789,6816238,5460820,1279731,22398,20574,123.76,62.23,49.85,11.68,1878,5617,0.051,10953714,17778,194737018412,3.98,73.82,123.76,"Correct"
"58","Ecuador","ecu","pays",2021-11-12,2021,23313709,13029056,10540095,157958,95743,73831,130.33,72.83,58.92,0.88,4127,39744,0.222,17888474,10489,187625789704,-0.11,77.57,130.33,"Correct"
"59","Egypt","egy","pays",2021-11-12,2021,NA,NA,NA,NA,NA,604639,NA,NA,NA,NA,5799,323800,0.311,104258327,12000,1251069058922,3.59,71.29,NA,NA
"60","El Salvador","slv","pays",2021-11-12,2021,NA,NA,NA,NA,NA,24050,NA,NA,NA,NA,3689,4426,0.068,6518500,8278,53957646545,2.33,74.9,NA,NA
"61","Equatorial Guinea","gnq","pays",2021-11-12,2021,NA,NA,NA,NA,NA,546,NA,NA,NA,NA,377,239,0.016,1449891,17027,24686678094,-8.81,67,NA,NA
"62","Estonia","est","pays",2021-11-12,2021,1458119,815004,773465,NA,2044,1631,110.03,61.5,58.37,NA,1231,1228,0.093,1325188,37024,49064341207,4.2,78.77,110.03,"Correct"
"63","Swaziland","swz","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1543,NA,NA,NA,NA,1316,1784,0.152,1172369,8274,9700171307,-0.18,62.69,NA,NA
"64","Ethiopia","eth","pays",2021-11-12,2021,5064051,3671041,1393010,NA,5242,6433,4.3,3.11,1.18,NA,55,3462,0.003,117876226,2328,274383888384,6.96,69.88,4.3,"Correct"
"65","Europe","europe","continent",2021-11-12,2021,893653893,454351670,420375553,36895862,2991177,2599508,119.32,60.66,56.13,4.93,3471,797431,0.106,850833567,36581,31122935030634,4.2,78.97,105.03,"Incorrect"
"66","Fiji","fji","pays",2021-11-12,2021,NA,NA,NA,NA,NA,1442,NA,NA,NA,NA,1597,255,0.028,902899,11511,10392849135,8.4,68.52,NA,NA
"67","Finland","fin","pays",2021-11-12,2021,NA,NA,NA,NA,NA,12421,NA,NA,NA,NA,2239,1965,0.035,5548361,48369,268370261833,2.44,82.1,NA,NA
"68","France","fra","pays",2021-11-12,2021,101269050,51667591,46360312,4294419,267088,158031,149.89,76.47,68.62,6.36,2339,17893,0.026,65426177,44559,2915321433252,3.93,83.33,154.78,"Incorrect"
"69","French Polynesia","pyf","pays",2021-11-12,2021,NA,NA,NA,NA,NA,592,NA,NA,NA,NA,2095,143,0.051,NA,NA,NA,NA,NA,NA,NA
"70","Gabon","gab","pays",2021-11-12,2021,NA,NA,NA,NA,NA,2337,NA,NA,NA,NA,1026,1628,0.071,2278829,14482,33001380451,1.46,69.47,NA,NA
"71","Gambia","gmb","pays",2021-11-12,2021,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,32,81,0.003,2486937,2221,5523012498,3.39,67.14,NA,NA
"72","Georgia","geo","pays",2021-11-12,2021,2041209,1076629,964580,NA,8270,5950,51.29,27.05,24.24,NA,1495,3921,0.099,3979773,14637,58251910145,5.7,73.47,51.29,"Correct"
"73","Germany","deu","pays",2021-11-12,2021,115017996,58284883,56217939,3867812,330304,250902,137.09,69.47,67.01,4.61,2990,41699,0.05,83900471,52867,4435526988807,3.31,81.23,137.09,"Correct"
"74","Ghana","gha","pays",2021-11-12,2021,NA,NA,NA,NA,NA,10043,NA,NA,NA,NA,316,9671,0.03,31732128,5510,174846933220,3.46,66.68,NA,NA
"75","Gibraltar","gib","pays",2021-11-12,2021,92749,40763,39814,12172,492,243,275.29,120.99,118.17,36.13,7213,27,0.08,NA,NA,NA,NA,NA,NA,NA
"76","Greece","grc","pays",2021-11-12,2021,13156658,6782046,6455182,598100,55847,41519,126.86,65.4,62.24,5.77,4003,12271,0.118,10370747,29159,302396763978,5.42,81.65,126.86,"Correct"
"77","Greenland","grl","pays",2021-11-12,2021,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,229,5,0.009,NA,NA,NA,NA,NA,NA,NA
"78","Grenada","grd","pays",2021-11-12,2021,72282,39254,33028,NA,NA,203,63.96,34.73,29.22,NA,1796,79,0.07,113015,14354,1622272755,4.58,74.2,63.96,"Correct"
"79","Guatemala","gtm","pays",2021-11-12,2021,9124208,5546644,3577564,NA,64872,48064,50,30.39,19.6,NA,2634,18622,0.102,18249868,8540,155860725915,1.93,73.55,50,"Correct"
"80","Guernsey","ggy","pays",2021-11-12,2021,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,584,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Guinea","gin","pays",2021-11-12,2021,NA,NA,NA,NA,NA,9136,NA,NA,NA,NA,677,6284,0.047,13497237,2709,36558975554,2.68,62.29,NA,NA
