"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Afghanistan","afg","Asia",2021-11-27,2021,5228706,4397449,3566192,NA,NA,15991,13.13,11.04,8.95,NA,401,16001,0.04,39835428,1950,77.661,2.17,64.74,"1"
"Albania","alb","Europe",2021-12-18,2021,2251010,1119430,1008465,123115,NA,8907,78.35,38.96,35.1,4.29,3100,2769,0.096,2872934,13950,40.078,4.17,78.7,"2"
"Algeria","dza","Africa",2021-11-30,2021,12293060,6875003,5391232,NA,147230,35110,27.55,15.41,12.08,NA,787,23904,0.054,44616626,10735,478.97,1.01,78.49,"2"
"Andorra","and","Europe",2021-12-12,2021,115709,56628,50551,8530,NA,1326,149.58,73.21,65.35,11.03,17142,76,0.098,77354,63705,4.928,3.44,NA,NA
"Angola","ago","Africa",2021-12-15,2021,10805281,7246240,3559041,NA,NA,83747,31.84,21.35,10.49,NA,2468,47305,0.139,33933611,6060,205.638,-0.6,65.71,"1"
"Antigua and Barbuda","atg","America North",2021-12-10,2021,119809,61921,57888,NA,NA,160,121.35,62.72,58.63,NA,1621,72,0.073,98728,17075,1.686,10.29,77.54,"2"
"Argentina","arg","America South",2021-12-19,2021,73401337,37621512,31652243,3967577,115695,270522,160.95,82.49,69.4,8.7,5932,44008,0.096,45605823,20613,940.073,1.46,77.25,"2"
"Armenia","arm","Europe",2021-12-12,2021,1452374,869750,582624,NA,NA,16305,48.93,29.3,19.63,NA,5493,5498,0.185,2968128,12745,37.828,3.54,76.18,"2"
"Australia","aus","Asia",2021-12-19,2021,41251388,20328607,19553057,1369724,63456,153392,159.96,78.83,75.82,5.31,5948,17113,0.066,25788217,50130,1292.771,2.02,83,"4"
"Austria","aut","Europe",2021-12-19,2021,15864317,6549154,6321893,3335253,33998,92540,175.43,72.42,69.91,36.88,10233,9297,0.103,9043072,53632,485,3.48,82.25,"4"
"Azerbaijan","aze","Europe",2021-12-19,2021,11066874,5140913,4641869,1284092,20738,24686,108.25,50.29,45.4,12.56,2415,2906,0.028,10223344,13773,140.805,0.49,71.28,"2"
"Bahamas","bhs","America North",2021-12-15,2021,293226,157232,145793,NA,NA,949,73.88,39.61,36.73,NA,2391,505,0.127,396914,30985,12.298,7.3,74.34,"2"
"Bahrain","bhr","Asia",2021-12-19,2021,3106701,1195481,1169267,NA,9246,8479,177.7,68.38,66.88,NA,4850,357,0.02,1748295,42277,73.913,1.13,80.02,"4"
"Bangladesh","bgd","Asia",2021-12-17,2021,132282376,87546674,44735702,NA,570616,728418,79.54,52.64,26.9,NA,4380,288712,0.174,166303494,5029,836.416,6.39,74.23,"2"
"Barbados","brb","America North",2021-12-18,2021,297092,155192,141900,NA,235,398,103.26,53.94,49.32,NA,1383,102,0.035,287708,13347,3.84,7.43,77.57,"2"
"Belarus","blr","Europe",2021-12-12,2021,7217727,4064247,3039334,114146,NA,77113,76.44,43.04,32.19,1.21,8166,35979,0.381,9442867,19133,180.673,1.31,74.77,"2"
"Belgium","bel","Europe",2021-12-16,2021,20351329,8879748,8759422,3134336,77684,84830,174.95,76.34,75.3,26.95,7293,1659,0.014,11632334,50103,582.82,2.65,82.02,"4"
"Belize","blz","America North",2021-12-10,2021,416878,229107,196741,NA,NA,697,102.95,56.58,48.59,NA,1721,84,0.021,404915,5851,2.369,4.29,74.69,"2"
"Benin","ben","Africa",2021-12-12,2021,1425408,1363471,1062378,NA,NA,60281,11.45,10.95,8.53,NA,4841,59279,0.476,12451031,3330,41.46,3.11,65.9,"1"
"Bhutan","btn","Asia",2021-12-05,2021,1154093,589482,564611,NA,NA,77,147.98,75.58,72.4,NA,99,38,0.005,779900,11289,8.804,4.65,75.34,"2"
"Bolivia","bol","America South",2021-12-16,2021,9231661,5328739,4427369,459041,54083,42010,78.02,45.03,37.42,3.88,3550,19292,0.163,11832936,8249,97.613,2.68,73.85,"2"
"Bosnia and Herzegovina","bih","Europe",2021-11-30,2021,NA,882641,NA,22572,NA,NA,NA,27.05,NA,0.69,NA,1900,0.058,3263459,14765,48.185,3.66,77.29,NA
"Botswana","bwa","Africa",2021-12-15,2021,2128351,1125993,1002358,NA,NA,93251,88.78,46.97,41.81,NA,38899,25103,1.047,2397240,16813,40.306,3.24,70.17,"2"
"Brazil","bra","America South",2021-12-19,2021,324846680,165417886,141488098,22846232,47994,676319,151.8,77.3,66.12,10.68,3160,70228,0.033,213993441,14390,3079.431,1.94,76.34,"2"
"Brunei","brn","Asia",2021-12-14,2021,790506,405092,385414,NA,3827,4049,179.04,91.75,87.29,NA,9170,76,0.017,441532,63588,28.076,2.31,75.9,"4"
"Bulgaria","bgr","Europe",2021-12-19,2021,3587678,NA,1872504,218270,3919,13334,52.02,NA,27.15,3.16,1933,NA,NA,6896655,23631,162.977,5.03,75.36,"2"
