"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Nigeria","nga","pays","Africa",2021-12-15,2021,12214538,8181113,4031004,NA,NA,152408,5.78,3.87,1.91,NA,721,123872,0.059,211400704,4916,1039.2,-0.22,66
"Niue","niu","pays",NA,2021-08-02,2021,2352,1202,1150,NA,NA,42,145.72,74.47,71.25,NA,26022,1,0.062,NA,NA,NA,NA,NA
"North America","north america","continent",NA,2021-12-16,2021,791868800,400625089,335816835,63480476,1351393,1870182,132.73,67.15,56.29,10.64,3135,675803,0.113,NA,NA,NA,NA,NA
"Norway","nor","pays","Europe",2021-12-15,2021,9293181,4264921,3890345,1137915,82598,41353,170.03,78.03,71.18,20.82,7566,1531,0.028,5465629,66160,361.605,3.37,82.89
"Oceania","oceania","continent",NA,2021-12-16,2021,52179589,26125402,24718899,1335288,241397,153242,120.73,60.45,57.19,3.09,3546,23637,0.055,NA,NA,NA,NA,NA
"Oman","omn","pays","Asia",2021-12-16,2021,5934585,3120714,2889245,32412,NA,0,113.62,59.75,55.31,0.62,0,840,0.016,5223376,26274,137.238,4.43,77.99
"Pakistan","pak","pays","Asia",2021-12-16,2021,138365328,86968178,59361468,NA,1245058,1007747,61.44,38.62,26.36,NA,4475,469760,0.209,225199929,4569,1029.01,2.06,67.48
"Palestine","pse","pays","Asia",2021-12-06,2021,3184868,2020110,1403992,NA,NA,9115,60.98,38.68,26.88,NA,1745,4797,0.092,5222756,5578,29.135,4.53,77.51
"Panama","pan","pays","America North",2021-12-16,2021,5709266,3018992,2452279,237995,7064,6652,130.3,68.9,55.97,5.43,1518,820,0.019,4381583,28130,123.255,3.61,80
"Papua New Guinea","png","pays","Asia",2021-12-13,2021,498598,282571,216027,NA,NA,2418,5.47,3.1,2.37,NA,265,1016,0.011,9119005,4156,37.9,2.11,59.34
"Paraguay","pry","pays","America South",2021-12-10,2021,6324638,3414571,2768880,141187,NA,15464,87.6,47.3,38.35,1.96,2142,2706,0.037,7219641,12718,91.816,2.6,76.6
"Peru","per","pays","America South",2021-12-14,2021,45659047,23574494,20086571,1997982,130892,233117,136.87,70.67,60.21,5.99,6988,75556,0.226,33359416,12146,405.188,4.12,81.23
"Philippines","phl","pays","Asia",2021-12-16,2021,100013599,NA,43024393,1014205,873996,739503,90.06,NA,38.74,0.91,6659,NA,NA,111046910,8371,929.584,4.91,70.25
"Pitcairn","pcn","pays",NA,2021-09-07,2021,94,47,47,NA,NA,0,200,100,100,NA,0,0,0,NA,NA,NA,NA,NA
"Poland","pol","pays","Europe",2021-12-16,2021,45081352,21285199,20780909,5556622,232963,187336,119.27,56.31,54.98,14.7,4956,24663,0.065,37797000,33477,1265.331,4.65,78.71
"Portugal","prt","pays","Europe",2021-12-16,2021,18572080,9053901,9043794,2201089,48772,62054,182.65,89.04,88.94,21.65,6103,0,0,10167923,33626,341.902,5.01,82.2
"Qatar","qat","pays","Asia",2021-12-15,2021,5098068,NA,NA,NA,9358,8943,173.96,NA,NA,NA,3052,NA,NA,2930524,89352,261.85,3.35,80.73
"Romania","rou","pays","Europe",2021-12-15,2021,15509758,NA,7680716,NA,34624,36478,81.09,NA,40.15,NA,1907,NA,NA,19127772,30683,586.903,4.81,75.7
"Russia","rus","pays","Europe",2021-12-16,2021,137430959,70712208,62075414,5828561,112263,609140,94.19,48.46,42.54,3.99,4175,251238,0.172,145912022,27197,3968.311,3.83,72.81
"Rwanda","rwa","pays","Africa",2021-12-15,2021,11030100,6847793,4182307,NA,NA,125701,83.08,51.58,31.5,NA,9468,73824,0.556,13276517,2248,29.844,4.45,69.74
"Saint Helena","shn","pays",NA,2021-05-05,2021,7892,4361,3531,NA,NA,97,129.48,71.55,57.93,NA,15915,0,0,NA,NA,NA,NA,NA
"Samoa","wsm","pays","Asia",2021-12-13,2021,262895,141356,121539,NA,NA,1090,131.35,70.63,60.73,NA,5446,115,0.057,200144,5721,1.145,0.82,73.4
"San Marino","smr","pays","Europe",2021-12-12,2021,52043,24282,21623,NA,NA,482,153.02,71.4,63.58,NA,14172,14,0.041,34010,56609,1.925,3.06,NA
"Sao Tome and Principe","stp","pays","Africa",2021-12-13,2021,137612,86396,51216,NA,NA,848,61.61,38.68,22.93,NA,3796,175,0.078,223364,3651,0.816,3.15,67.67
"Saudi Arabia","sau","pays","Asia",2021-12-16,2021,48275299,24841260,22887340,NA,43520,45466,136.6,70.29,64.76,NA,1287,12832,0.036,35340680,44534,1573.878,1.99,77.43
"Senegal","sen","pays","Africa",2021-12-15,2021,2269383,1328153,941230,NA,NA,29174,13.2,7.72,5.47,NA,1697,0,0,17196308,3408,58.608,3.16,69.16
"Serbia","srb","pays","Europe",2021-12-14,2021,8099998,3291994,3172131,1635856,NA,11905,117.88,47.91,46.16,23.81,1733,1623,0.024,8697547,19227,167.232,4.92,76.31
"Seychelles","syc","pays","Africa",2021-12-10,2021,182903,82117,78214,NA,NA,313,184.92,83.02,79.08,NA,3164,16,0.016,98910,25346,2.507,3.33,73.92
"Sierra Leone","sle","pays","Africa",2021-12-08,2021,923880,747044,385232,NA,NA,4596,11.35,9.18,4.73,NA,565,3651,0.045,8141343,1658,13.501,1.38,62.14
"Singapore","sgp","pays","Asia",2021-12-03,2021,9489264,4744632,4744632,NA,NA,53,174,87,87,NA,10,36,0.001,5896684,94610,557.883,2.04,85.42
"Sint Maarten (Dutch part)","sxm","pays",NA,2021-12-10,2021,52038,27030,25008,NA,NA,26,119.85,62.25,57.59,NA,599,14,0.032,NA,NA,NA,NA,NA
"Slovak Republic","svk","pays","Europe",2021-12-16,2021,5082061,2696745,2385316,NA,5247,5576,93.07,49.38,43.68,NA,1021,2785,0.051,5460726,31634,172.742,4.31,78.01
