"name","geo","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy",".cluster"
"Lebanon","lbn","Asia",2021-12-20,2021,3934379,2154301,1780078,NA,NA,15594,58.12,31.83,26.3,NA,2304,11357,0.168,6769151,10016,67.8,-3.79,78.23,"2"
"Lesotho","lso","Africa",2021-12-16,2021,688097,648817,641007,NA,NA,6527,31.87,30.05,29.69,NA,3023,2768,0.128,2159067,2621,5.66,3.02,57.04,"4"
"Liberia","lbr","Africa",2021-12-15,2021,880313,784838,755263,NA,NA,39207,16.99,15.15,14.58,NA,7569,25624,0.495,5180208,1365,7.071,2.17,65.83,"4"
"Libya","lby","Africa",2021-12-19,2021,2609405,1823248,786157,NA,NA,9819,37.5,26.2,11.3,NA,1411,4970,0.071,6958538,13840,96.309,4.4,73.67,"2"
"Liechtenstein","lie","Europe",2021-12-19,2021,60936,26044,25490,10291,0,684,159.29,68.08,66.63,26.9,17880,20,0.052,38254,NA,NA,NA,NA,NA
"Lithuania","ltu","Europe",2021-12-20,2021,3987926,1903775,1817452,532701,16008,14115,148.26,70.78,67.57,19.8,5247,1685,0.063,2689862,38117,102.529,3.22,75.75,"3"
"Luxembourg","lux","Europe",2021-12-19,2021,1014182,458702,NA,156467,137,5819,159.76,72.26,NA,24.65,9166,573,0.09,634814,113004,71.736,1.67,82.26,NA
"Macedonia, FYR","mkd","Europe",2021-12-12,2021,1724797,836816,804518,83463,NA,1902,82.82,40.18,38.63,4.01,913,503,0.024,2082662,16510,34.384,4,77.02,"2"
"Madagascar","mdg","Africa",2021-12-06,2021,742069,589003,541160,NA,NA,8090,2.61,2.07,1.9,NA,285,8047,0.028,28427333,1548,44.01,2.46,64.87,"4"
"Malawi","mwi","Africa",2021-12-18,2021,1639533,1355692,651693,NA,10776,14399,8.34,6.9,3.32,NA,733,14386,0.073,19647681,1029,20.225,3.52,65.04,"4"
"Malaysia","mys","Asia",2021-12-20,2021,55473845,25947377,25547435,4174420,143536,61011,169.25,79.17,77.95,12.74,1861,3202,0.01,32776195,27805,911.343,4.67,75.34,"3"
"Maldives","mdv","Asia",2021-12-16,2021,784616,396358,366165,22093,659,599,144.33,72.91,67.36,4.06,1102,30,0.006,543620,15216,8.272,11.5,82.66,"3"
"Mali","mli","Africa",2021-12-20,2021,1006643,852496,353103,NA,NA,3773,4.83,4.09,1.69,NA,181,2461,0.012,20855724,2230,46.511,2.9,63.65,"4"
"Malta","mlt","Europe",2021-12-19,2021,1012731,437988,434679,172357,2763,2766,196.23,84.86,84.22,33.4,5359,146,0.028,442790,40243,17.819,4.53,81.6,"1"
"Mauritania","mrt","Africa",2021-12-17,2021,1824139,1112438,711701,NA,3777,3117,38.2,23.3,14.9,NA,653,1602,0.034,4775110,5020,23.97,3.26,71.46,"2"
"Mauritius","mus","Africa",2021-12-17,2021,2013261,916524,914936,NA,NA,5755,158.1,71.97,71.85,NA,4519,0,0,1273428,20525,26.138,5.22,75.31,"3"
"Mexico","mex","America North",2021-12-20,2021,141831710,81812357,66753364,NA,109166,639240,108.88,62.81,51.25,NA,4907,187050,0.144,130262220,18691,2434.774,2.09,75.8,"3"
"Moldova","mda","Europe",2021-12-20,2021,1721289,NA,966337,NA,5127,4146,42.78,NA,24.01,NA,1030,NA,NA,4024025,13076,52.617,5.89,73.31,"2"
"Monaco","mco","Europe",2021-09-16,2021,49980,26672,23308,NA,NA,103,126.47,67.49,58.98,NA,2606,32,0.081,39520,70021,2.767,1.04,NA,NA
"Mongolia","mng","Asia",2021-12-19,2021,4424654,2264437,2160217,NA,122,825,132.9,68.02,64.89,NA,248,230,0.007,3329282,11830,39.386,5.75,69.68,"2"
"Montenegro","mne","Europe",2021-12-20,2021,548933,281453,267480,NA,182,728,87.4,44.81,42.59,NA,1159,226,0.036,628051,19939,12.522,5.43,76.98,"2"
"Morocco","mar","Africa",2021-12-19,2021,49727533,24592087,22929634,NA,NA,58731,133.16,65.85,61.4,NA,1573,4338,0.012,37344787,7156,267.223,2.89,74.85,"3"
"Mozambique","moz","Africa",2021-12-20,2021,13250204,7845444,5404760,NA,NA,217062,41.2,24.39,16.8,NA,6749,105648,0.328,32163045,1235,39.713,1.99,60.79,"4"
"Myanmar","mmr","Asia",2021-11-30,2021,28707770,16849172,11858598,NA,NA,268907,52.38,30.74,21.64,NA,4907,141322,0.258,54806014,4769,261.393,0.78,69.53,"4"
"Namibia","nam","Africa",2021-12-15,2021,713598,387413,326185,NA,NA,2796,27.58,14.97,12.61,NA,1081,1553,0.06,2587344,8663,22.415,0.43,67.94,"4"
"Nauru","nru","Asia",2021-08-31,2021,14863,7612,7251,NA,NA,2,136.7,70.01,66.69,NA,184,2,0.018,10873,11395,0.124,-1.04,NA,NA
"Nepal","npl","Asia",2021-12-06,2021,19157444,10431659,8725785,NA,NA,119991,64.56,35.15,29.4,NA,4044,78859,0.266,29674920,3361,99.737,2.87,72.11,"2"
"Netherlands","nld","Europe",2021-12-15,2021,24854421,NA,NA,NA,NA,8985,144.73,NA,NA,NA,523,NA,NA,17173094,56038,962.349,2.7,82.08,NA
"New Zealand","nzl","Asia",2021-12-20,2021,8027097,3966212,3808013,252872,NA,18397,156.7,77.43,74.34,4.94,3591,1975,0.039,4860642,42920,208.62,2.08,82.21,"1"
"Nicaragua","nic","America North",2021-12-15,2021,7308467,4628897,2679570,NA,NA,67604,109.04,69.06,39.98,NA,10087,41522,0.62,6702379,5244,35.147,1.64,79.7,"2"
"Niger","ner","Africa",2021-11-28,2021,971636,507223,464413,NA,NA,614,3.87,2.02,1.85,NA,24,81,0,25130810,1229,30.877,8.68,63.93,"4"
"Nigeria","nga","Africa",2021-12-20,2021,12971729,8811055,4153915,NA,NA,141565,6.14,4.17,1.96,NA,670,117329,0.056,211400704,4916,1039.2,-0.22,66,"4"
"Norway","nor","Europe",2021-12-19,2021,9451485,4272173,3901947,1277365,2976,45794,172.93,78.16,71.39,23.37,8379,1906,0.035,5465629,66160,361.605,3.37,82.89,"1"
"Oman","omn","Asia",2021-12-19,2021,6046310,3121257,2890827,NA,NA,15961,115.75,59.76,55.34,NA,3056,558,0.011,5223376,26274,137.238,4.43,77.99,"3"
