"name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Somalia","som","pays",2021-11-13,2021,964433,589128,564612,NA,NA,34098,5.9,3.6,3.45,NA,2084,27245,0.167,16359500,673,11012785485,0.29,59.83
"South Africa","zaf","pays",2021-11-13,2021,23911466,16220848,13375972,NA,79098,116510,39.82,27.02,22.28,NA,1940,64305,0.107,60041996,11626,698031671445,0.44,67.43
"South America","south america","continent",2021-11-13,2021,553572038,306614545,236644049,21673362,1208080,2289734,127.47,70.61,54.49,4.99,5273,779868,0.18,NA,NA,NA,NA,NA
"South Korea","kor","pays",2021-11-13,2021,81700463,42004086,40144958,1047783,207404,268454,159.24,81.87,78.25,2.04,5232,61858,0.121,51305184,43897,2252157006501,2.74,83.3
"South Sudan","ssd","pays",2021-11-13,2021,NA,NA,NA,NA,NA,3684,NA,NA,NA,NA,324,4094,0.036,11381377,1800,20482007813,3.47,60.26
"Spain","esp","pays",2021-11-13,2021,NA,NA,NA,NA,NA,152017,NA,NA,NA,NA,3252,9034,0.019,46745211,38778,1812675891643,4.25,83.58
"Sri Lanka","lka","pays",2021-11-13,2021,29479610,15857906,13621704,NA,NA,25998,137.13,73.77,63.36,NA,1209,14376,0.067,21497306,12957,278539782821,3.47,78.14
"Sudan","sdn","pays",2021-11-13,2021,NA,NA,NA,NA,NA,33000,NA,NA,NA,NA,735,33229,0.074,44909351,3638,163377515606,-1.43,71.25
"Suriname","sur","pays",2021-11-13,2021,463793,253691,210102,NA,88,926,78.37,42.87,35.5,NA,1565,261,0.044,591798,14060,8320503520,0.32,72.51
"Sweden","swe","pays",2021-11-13,2021,NA,NA,NA,NA,NA,40758,NA,NA,NA,NA,4012,5541,0.055,10160159,51272,520927569467,1.98,83.08
"Switzerland","che","pays",2021-11-13,2021,11313851,5805548,5641225,47056,15696,17638,129.81,66.61,64.73,0.54,2024,4928,0.057,8715494,67374,587199093893,1.58,84.55
"Syria","syr","pays",2021-11-13,2021,NA,NA,NA,NA,NA,19301,NA,NA,NA,NA,1056,5524,0.03,18275704,3984,72803383235,1.68,73.34
"Taiwan","twn","pays",2021-11-13,2021,NA,NA,NA,NA,NA,200493,NA,NA,NA,NA,8405,52796,0.221,23855008,57024,1360312454176,2.98,80.63
"Tajikistan","tjk","pays",2021-11-13,2021,NA,NA,NA,NA,NA,25808,NA,NA,NA,NA,2647,9443,0.097,9749625,3568,34790505680,2.59,71.17
"Tanzania","tza","pays",2021-11-13,2021,NA,NA,NA,NA,NA,13976,NA,NA,NA,NA,227,14452,0.023,61498438,2602,160007895660,1.59,68.41
"Thailand","tha","pays",2021-11-13,2021,84094565,45069302,36281904,2743359,773944,653799,120.22,64.43,51.87,3.92,9347,196424,0.281,69950844,17698,1237996861657,5.45,78.96
"Timor-Leste","tls","pays",2021-11-13,2021,NA,NA,NA,NA,NA,6112,NA,NA,NA,NA,4548,3695,0.275,1343875,2904,3902267952,1.68,71.74
"Togo","tgo","pays",2021-11-13,2021,NA,NA,NA,NA,NA,6085,NA,NA,NA,NA,718,3074,0.036,8478242,1585,13435047467,1.98,65.61
"Tonga","ton","pays",2021-11-13,2021,NA,NA,NA,NA,NA,776,NA,NA,NA,NA,7269,624,0.584,106759,6212,663211894,2.63,72.21
"Trinidad and Tobago","tto","pays",2021-11-13,2021,1297099,670447,626652,NA,2881,2805,92.43,47.77,44.65,NA,1999,1020,0.073,1403374,24421,34271521482,3.58,74.75
"Tunisia","tun","pays",2021-11-13,2021,9833267,5818681,4762715,256524,41577,39017,82.38,48.75,39.9,2.15,3269,16139,0.135,11935764,9983,119160007212,1.5,79.12
"Turkey","tur","pays",2021-11-13,2021,118302677,55810636,49594716,12897325,83507,141565,139.11,65.63,58.32,15.17,1665,28618,0.034,85042736,29809,2535062468512,2.29,79.96
"Uganda","uga","pays",2021-11-13,2021,NA,NA,NA,NA,NA,101094,NA,NA,NA,NA,2145,58452,0.124,47123533,2136,100650940241,1.93,67.29
"Ukraine","ukr","pays",2021-11-13,2021,20853504,12187559,8686625,NA,145241,227750,47.98,28.04,19.98,NA,5240,118983,0.274,43466822,12894,560460420739,3.81,71.01
"United Arab Emirates","are","pays",2021-11-13,2021,NA,NA,NA,NA,NA,28997,NA,NA,NA,NA,2902,8021,0.08,9991083,61292,612376995226,-0.46,73.9
"United Kingdom","gbr","pays",2021-11-13,2021,109213829,50559566,46010861,12643402,519837,435173,160.12,74.13,67.46,18.54,6380,46096,0.068,68207114,43908,2994810557900,4.59,81.35
"United States","usa","pays",2021-11-13,2021,446961068,229170776,194557040,31985897,1123643,1397101,134.62,69.03,58.6,9.63,4208,511479,0.154,332915074,63517,21145722037487,2.92,78.7
"Uruguay","ury","pays",2021-11-13,2021,6728064,2742197,2646932,1338935,119,5676,193.05,78.68,75.95,38.42,1629,846,0.024,3485152,20797,72482053762,2.76,77.61
"Uzbekistan","uzb","pays",2021-11-13,2021,29454296,15390593,NA,NA,317724,269721,86.79,45.35,NA,NA,7948,156555,0.461,33935765,7203,244451080400,3.5,70.9
"Vanuatu","vut","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1216,NA,NA,NA,NA,3867,891,0.283,314464,2802,881127477,1.89,65.27
"Venezuela","ven","pays",2021-11-13,2021,NA,NA,NA,NA,NA,131562,NA,NA,NA,NA,4583,106568,0.371,28704947,5285,151709023052,-2.64,75.18
"Vietnam","vnm","pays",2021-11-13,2021,98930571,64322087,34608484,NA,1098813,1329981,100.78,65.52,35.25,NA,13548,496669,0.506,98168829,8648,848968527469,6.23,74.88
"Wallis and Futuna","wlf","pays",2021-11-13,2021,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,1532,3,0.027,NA,NA,NA,NA,NA
"World","world","continent",2021-11-13,2021,7504160746,4027906720,3198754103,172973310,33649016,32817769,95.29,51.15,40.62,2.2,4167,10121412,0.129,NA,NA,NA,NA,NA
"Yemen","yem","pays",2021-11-13,2021,NA,NA,NA,NA,NA,15349,NA,NA,NA,NA,503,15084,0.049,30490639,2372,72320693107,0.1,68.25
"Zambia","zmb","pays",2021-11-13,2021,NA,NA,NA,NA,NA,4961,NA,NA,NA,NA,262,NA,NA,18920657,3173,60027026593,-1.91,64.61
"Zimbabwe","zwe","pays",2021-11-13,2021,6155370,3462939,2692431,NA,25012,21192,40.79,22.95,17.84,NA,1404,14044,0.093,15092171,2587,39046735435,1.87,62.51
