"name","geo","region","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Congo, Dem. Rep.","cod","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1558,NA,NA,NA,NA,17,908,0.001,92377986,1068,98630619441,1.56,63.63
"Denmark","dnk","pays",2021-11-13,2021,NA,4514006,4426659,468366,NA,17216,NA,77.65,76.15,8.06,2961,3615,0.062,5813302,57128,332102152627,2.54,81.25
"Djibouti","dji","pays",2021-11-13,2021,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,270,271,0.027,1002197,5444,5456188032,2.58,69.25
"Dominica","dma","pays",2021-11-13,2021,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,1427,34,0.047,72172,10631,767251752,5.84,NA
"Dominican Republic","dom","pays",2021-11-13,2021,13565998,6818418,5465964,1281616,9209,21094,123.85,62.25,49.9,11.7,1926,5691,0.052,10953714,17778,194737018412,3.98,73.82
"Ecuador","ecu","pays",2021-11-13,2021,23352185,13055729,10548437,161454,38476,77845,130.54,72.98,58.97,0.9,4352,42936,0.24,17888474,10489,187625789704,-0.11,77.57
"Egypt","egy","pays",2021-11-13,2021,34871428,21751641,13853984,NA,NA,615408,33.45,20.86,13.29,NA,5903,327064,0.314,104258327,12000,1251069058922,3.59,71.29
"El Salvador","slv","pays",2021-11-13,2021,NA,NA,NA,NA,NA,22958,NA,NA,NA,NA,3522,4204,0.064,6518500,8278,53957646545,2.33,74.9
"Equatorial Guinea","gnq","pays",2021-11-13,2021,NA,NA,NA,NA,NA,442,NA,NA,NA,NA,305,189,0.013,1449891,17027,24686678094,-8.81,67
"Estonia","est","pays",2021-11-13,2021,1458896,815565,773922,NA,778,1560,110.09,61.54,58.4,NA,1177,1161,0.088,1325188,37024,49064341207,4.2,78.77
"Swaziland","swz","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1539,NA,NA,NA,NA,1313,1871,0.16,1172369,8274,9700171307,-0.18,62.69
"Ethiopia","eth","pays",2021-11-13,2021,5066269,3672765,1393504,NA,2218,5906,4.3,3.12,1.18,NA,50,2899,0.002,117876226,2328,274383888384,6.96,69.88
"Europe","europe","continent",2021-11-13,2021,896469605,455036694,421108214,38279122,2339634,2817894,119.69,60.76,56.23,5.11,3762,856879,0.114,850833567,36581,31122935030634,4.2,78.97
"Fiji","fji","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1529,NA,NA,NA,NA,1693,264,0.029,902899,11511,10392849135,8.4,68.52
"Finland","fin","pays",2021-11-13,2021,NA,NA,NA,NA,NA,12391,NA,NA,NA,NA,2233,1922,0.035,5548361,48369,268370261833,2.44,82.1
"France","fra","pays",2021-11-13,2021,101402830,51687390,46393685,4375078,133780,159943,150.08,76.5,68.67,6.48,2367,17734,0.026,65426177,44559,2915321433252,3.93,83.33
"French Polynesia","pyf","pays",2021-11-13,2021,NA,NA,NA,NA,NA,592,NA,NA,NA,NA,2095,143,0.051,NA,NA,NA,NA,NA
"Gabon","gab","pays",2021-11-13,2021,NA,NA,NA,NA,NA,2173,NA,NA,NA,NA,954,1557,0.068,2278829,14482,33001380451,1.46,69.47
"Gambia","gmb","pays",2021-11-13,2021,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,19,50,0.002,2486937,2221,5523012498,3.39,67.14
"Georgia","geo","pays",2021-11-13,2021,2046362,1080219,966143,NA,5153,6057,51.42,27.14,24.28,NA,1522,4072,0.102,3979773,14637,58251910145,5.7,73.47
"Germany","deu","pays",2021-11-13,2021,115123484,58311433,56238532,3929234,104001,255568,137.21,69.5,67.03,4.68,3046,42715,0.051,83900471,52867,4435526988807,3.31,81.23
"Ghana","gha","pays",2021-11-13,2021,NA,NA,NA,NA,NA,12520,NA,NA,NA,NA,395,12128,0.038,31732128,5510,174846933220,3.46,66.68
"Gibraltar","gib","pays",2021-11-13,2021,93018,40764,39814,12440,269,236,276.09,120.99,118.17,36.92,7005,27,0.08,NA,NA,NA,NA,NA
"Greece","grc","pays",2021-11-13,2021,13209474,6797021,6464346,627571,52816,44162,127.37,65.54,62.33,6.05,4258,12369,0.119,10370747,29159,302396763978,5.42,81.65
"Greenland","grl","pays",2021-11-13,2021,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,229,5,0.009,NA,NA,NA,NA,NA
"Grenada","grd","pays",2021-11-13,2021,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,1725,77,0.068,113015,14354,1622272755,4.58,74.2
"Guatemala","gtm","pays",2021-11-13,2021,9152370,5558781,3593589,NA,28162,48897,50.15,30.46,19.69,NA,2679,19299,0.106,18249868,8540,155860725915,1.93,73.55
"Guernsey","ggy","pays",2021-11-13,2021,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,536,NA,NA,NA,NA,NA,NA,NA
"Guinea","gin","pays",2021-11-13,2021,NA,NA,NA,NA,NA,7431,NA,NA,NA,NA,551,5276,0.039,13497237,2709,36558975554,2.68,62.29
"Guinea-Bissau","gnb","pays",2021-11-13,2021,NA,NA,NA,NA,NA,11519,NA,NA,NA,NA,5715,11311,0.561,2015490,1915,3859054011,1.74,61.31
"Guyana","guy","pays",2021-11-13,2021,NA,NA,NA,NA,NA,2028,NA,NA,NA,NA,2566,715,0.09,790329,14119,11158740248,4.14,69.71
"Haiti","hti","pays",2021-11-13,2021,NA,NA,NA,NA,NA,2681,NA,NA,NA,NA,232,1281,0.011,11541683,2758,31828523183,-0.2,66.29
"Honduras","hnd","pays",2021-11-13,2021,NA,NA,NA,NA,NA,41586,NA,NA,NA,NA,4133,14164,0.141,10062994,5318,53518742176,1.52,74.7
"Hong Kong, China","hkg","pays",2021-11-13,2021,9180432,4670064,4472860,NA,20863,12715,121.55,61.83,59.22,NA,1683,3974,0.053,7552800,58606,442639477320,3.22,84.72
"Hungary","hun","pays",2021-11-13,2021,NA,NA,NA,NA,NA,35413,NA,NA,NA,NA,3676,3543,0.037,9634162,32377,311929605621,5.93,77.47
"Iceland","isl","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1184,NA,NA,NA,NA,3448,65,0.019,343360,51911,17824175938,2.01,83.31
"India","ind","pays",2021-11-13,2021,1119180353,751481608,367698745,NA,7757037,5571839,80.32,53.93,26.39,NA,3999,1587602,0.114,1393409033,6819,9500960586370,5.93,69.91
"Indonesia","idn","pays",2021-11-13,2021,213128276,129710190,83418086,NA,1220396,1551148,77.12,46.93,30.18,NA,5613,793432,0.287,276361788,11829,3269041936630,4.8,72.28
"Iran","irn","pays",2021-11-13,2021,98181400,55576533,42183468,421399,NA,672336,115.47,65.36,49.61,0.5,7907,93170,0.11,85028760,12635,1074299482267,1.13,78.16
"Iraq","irq","pays",2021-11-13,2021,NA,NA,NA,NA,NA,97766,NA,NA,NA,NA,2374,55830,0.136,41179351,9314,383552326769,1.74,77.37
"Ireland","irl","pays",2021-11-13,2021,7782750,3838095,3769726,411423,22332,23574,156.19,77.03,75.65,8.26,4731,1165,0.023,4982904,90930,453093654115,3.85,82.61
"Isle of Man","imn","pays",2021-11-13,2021,132861,NA,64720,NA,1,0,155.56,NA,75.78,NA,0,23,0.027,NA,NA,NA,NA,NA
"Israel","isr","pays",2021-11-13,2021,16039845,6260471,5758576,4020798,1583,6933,172.64,67.38,61.98,43.28,746,1211,0.013,8789776,39744,349336647408,2.39,83.59
"Italy","ita","pays",2021-11-13,2021,92236731,46865899,43691589,3175146,166351,185193,152.79,77.63,72.38,5.26,3068,18258,0.03,60367471,40378,2437506704811,3.69,83.79
"Jamaica","jam","pays",2021-11-13,2021,1038132,624530,472622,NA,6480,8002,34.91,21,15.89,NA,2691,2783,0.094,2973462,8872,26379759897,5.58,75.09
"Japan","jpn","pays",2021-11-13,2021,NA,NA,NA,NA,NA,343845,NA,NA,NA,NA,2728,78332,0.062,126050796,41241,5198413930090,2.95,84.78
"Jersey","jey","pays",2021-11-13,2021,NA,NA,NA,NA,NA,491,NA,NA,NA,NA,4858,36,0.036,NA,NA,NA,NA,NA
"Jordan","jor","pays",2021-11-13,2021,7643784,4036388,3607396,NA,11770,11920,74.44,39.31,35.13,NA,1161,5682,0.055,10269022,9828,100926719038,1.86,79.86
"Kazakhstan","kaz","pays",2021-11-13,2021,16321561,8521371,7800190,NA,42718,40052,85.93,44.86,41.06,NA,2109,18763,0.099,18994958,25820,490455386925,2.69,73.19
"Kenya","ken","pays",2021-11-13,2021,NA,NA,NA,NA,NA,48400,NA,NA,NA,NA,880,12558,0.023,54985702,4446,244452714976,3.4,67.18
"Kiribati","kir","pays",2021-11-13,2021,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,2990,176,0.145,121388,2226,270175518,0.81,63.33
"Kuwait","kwt","pays",2021-11-13,2021,NA,NA,NA,NA,NA,36209,NA,NA,NA,NA,8365,12350,0.285,4328553,43633,188867337043,0.43,83.54
"Kyrgyz Republic","kgz","pays",2021-11-13,2021,1855319,1038142,813479,NA,1145,7952,27.99,15.66,12.27,NA,1200,3588,0.054,6628347,4919,32604071363,2.41,73.27
"Lao","lao","pays",2021-11-13,2021,NA,NA,NA,NA,NA,18536,NA,NA,NA,NA,2512,18953,0.257,7379358,7924,58475698836,4.12,68.81
"Latvia","lva","pays",2021-11-13,2021,2096060,1234176,1114842,NA,8067,10461,112.27,66.11,59.72,NA,5603,4614,0.247,1866934,31298,58431995073,5.4,75.67
"Lebanon","lbn","pays",2021-11-13,2021,3438827,1834730,1604097,NA,970,9948,50.8,27.1,23.7,NA,1470,4438,0.066,6769151,10016,67800313287,-3.79,78.23
"Lesotho","lso","pays",2021-11-13,2021,NA,NA,NA,NA,NA,6167,NA,NA,NA,NA,2856,6158,0.285,2159067,2621,5659534582,3.02,57.04
"Liberia","lbr","pays",2021-11-13,2021,NA,NA,NA,NA,NA,9442,NA,NA,NA,NA,1823,6255,0.121,5180208,1365,7071130071,2.17,65.83
"Libya","lby","pays",2021-11-13,2021,NA,NA,NA,NA,NA,9424,NA,NA,NA,NA,1354,2848,0.041,6958538,13840,96309431432,4.4,73.67
"Liechtenstein","lie","pays",2021-11-13,2021,49466,25525,24788,1,0,48,129.31,66.73,64.8,0,1255,35,0.091,38254,NA,NA,NA,NA
"Lithuania","ltu","pays",2021-11-13,2021,3496808,1838267,1749107,147039,1965,9046,130,68.34,65.03,5.47,3363,2149,0.08,2689862,38117,102529312834,3.22,75.75
"Luxembourg","lux","pays",2021-11-13,2021,859573,441247,NA,37133,2060,1918,135.41,69.51,NA,5.85,3021,485,0.076,634814,113004,71736259697,1.67,82.26
"Macao","mac","pays",2021-11-13,2021,NA,NA,NA,NA,NA,4001,NA,NA,NA,NA,6077,834,0.127,NA,NA,NA,NA,NA
"Madagascar","mdg","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1398,NA,NA,NA,NA,49,2531,0.009,28427333,1548,44009545955,2.46,64.87
"Malawi","mwi","pays",2021-11-13,2021,1301003,1034021,573356,NA,NA,5494,6.62,5.26,2.92,NA,280,4965,0.025,19647681,1029,20225105145,3.52,65.04
"Malaysia","mys","pays",2021-11-13,2021,51788073,25751487,25202157,1020479,58283,103048,158.01,78.57,76.89,3.11,3144,6738,0.021,32776195,27805,911343281537,4.67,75.34
"Maldives","mdv","pays",2021-11-13,2021,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,456,36,0.007,543620,15216,8271841576,11.5,82.66
"Mali","mli","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1657,NA,NA,NA,NA,79,8832,0.042,20855724,2230,46510796484,2.9,63.65
"Malta","mlt","pays",2021-11-13,2021,906453,433146,430576,74617,3090,2588,175.64,83.93,83.43,14.46,5015,168,0.033,442790,40243,17819165862,4.53,81.6
"Mauritania","mrt","pays",2021-11-13,2021,NA,NA,NA,NA,NA,6663,NA,NA,NA,NA,1395,2742,0.057,4775110,5020,23969502966,3.26,71.46
"Mauritius","mus","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1903,NA,NA,NA,NA,1494,516,0.041,1273428,20525,26137579335,5.22,75.31
"Mexico","mex","pays",2021-11-13,2021,NA,NA,NA,NA,NA,259400,NA,NA,NA,NA,1991,75133,0.058,130262220,18691,2434774026047,2.09,75.8
"Moldova","mda","pays",2021-11-13,2021,1566973,NA,901624,NA,NA,3124,38.94,NA,22.41,NA,776,3062,0.076,4024025,13076,52616590074,5.89,73.31
"Mongolia","mng","pays",2021-11-13,2021,NA,NA,NA,NA,NA,672,NA,NA,NA,NA,202,208,0.006,3329282,11830,39386189135,5.75,69.68
"Montenegro","mne","pays",2021-11-13,2021,513753,264937,248816,NA,1359,1135,81.8,42.18,39.62,NA,1807,732,0.117,628051,19939,12522485588,5.43,76.98
"Morocco","mar","pays",2021-11-13,2021,NA,NA,NA,NA,NA,42363,NA,NA,NA,NA,1134,18368,0.049,37344787,7156,267222995456,2.89,74.85
"Mozambique","moz","pays",2021-11-13,2021,NA,NA,NA,NA,NA,159912,NA,NA,NA,NA,4972,123424,0.384,32163045,1235,39712828055,1.99,60.79
"Myanmar","mmr","pays",2021-11-13,2021,24253764,14692607,9561157,NA,NA,300112,44.25,26.81,17.45,NA,5476,112402,0.205,54806014,4769,261393458894,0.78,69.53
"Namibia","nam","pays",2021-11-13,2021,NA,NA,NA,NA,NA,2188,NA,NA,NA,NA,846,952,0.037,2587344,8663,22415341938,0.43,67.94
"Nepal","npl","pays",2021-11-13,2021,NA,NA,NA,NA,NA,40612,NA,NA,NA,NA,1369,18292,0.062,29674920,3361,99737368107,2.87,72.11
"Netherlands","nld","pays",2021-11-13,2021,NA,NA,NA,NA,NA,17758,NA,NA,NA,NA,1034,9649,0.056,17173094,56038,962349111579,2.7,82.08
"New Caledonia","ncl","pays",2021-11-13,2021,NA,NA,NA,NA,NA,533,NA,NA,NA,NA,1849,128,0.044,NA,NA,NA,NA,NA
"New Zealand","nzl","pays",2021-11-13,2021,7202990,3791834,3406831,4325,27445,22343,140.61,74.02,66.51,0.08,4362,5830,0.114,4860642,42920,208619758021,2.08,82.21
"Nicaragua","nic","pays",2021-11-13,2021,NA,NA,NA,NA,NA,311302,NA,NA,NA,NA,46446,185228,2.764,6702379,5244,35147363510,1.64,79.7
"Niger","ner","pays",2021-11-13,2021,NA,NA,NA,NA,NA,3719,NA,NA,NA,NA,148,399,0.002,25130810,1229,30877172412,8.68,63.93
"Nigeria","nga","pays",2021-11-13,2021,NA,NA,NA,NA,NA,28672,NA,NA,NA,NA,136,15066,0.007,211400704,4916,1039200012005,-0.22,66
"North America","north america","continent",2021-11-13,2021,720709585,375835125,319366779,34747836,1463890,2100960,120.81,63,53.53,5.82,3522,673312,0.113,NA,NA,NA,NA,NA
"Macedonia, FYR","mkd","pays",2021-11-13,2021,1652785,867952,784833,54170,NA,3408,79.36,41.68,37.68,2.6,1636,2642,0.127,2082662,16510,34384343066,4,77.02
"Norway","nor","pays",2021-11-13,2021,8247254,4223760,3778840,244654,741,17007,150.89,77.28,69.14,4.48,3112,1030,0.019,5465629,66160,361604669091,3.37,82.89
"Oceania","oceania","continent",2021-11-13,2021,47697980,24976131,22460062,261787,117809,164473,110.36,57.79,51.97,0.61,3805,47717,0.11,NA,NA,NA,NA,NA
"Oman","omn","pays",2021-11-13,2021,NA,NA,NA,NA,NA,8165,NA,NA,NA,NA,1563,9629,0.184,5223376,26274,137237978324,4.43,77.99
"Pakistan","pak","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1042951,NA,NA,NA,NA,4631,535160,0.238,225199929,4569,1029010060700,2.06,67.48
"Palestine","pse","pays",2021-11-13,2021,NA,NA,NA,NA,NA,8780,NA,NA,NA,NA,1681,16222,0.311,5222756,5578,29134715317,4.53,77.51
"Panama","pan","pays",2021-11-13,2021,5506289,2988215,2394051,124023,13670,5304,125.67,68.2,54.64,2.83,1211,1206,0.028,4381583,28130,123255319258,3.61,80
"Papua New Guinea","png","pays",2021-11-13,2021,NA,NA,NA,NA,NA,5196,NA,NA,NA,NA,570,2530,0.028,9119005,4156,37899828171,2.11,59.34
"Paraguay","pry","pays",2021-11-13,2021,NA,NA,NA,NA,NA,56160,NA,NA,NA,NA,7779,33010,0.457,7219641,12718,91816412732,2.6,76.6
"Peru","per","pays",2021-11-13,2021,38189691,21145833,16666235,377623,240753,219467,114.48,63.39,49.96,1.13,6579,120213,0.36,33359416,12146,405187835766,4.12,81.23
"Philippines","phl","pays",2021-11-13,2021,NA,NA,NA,NA,NA,775142,NA,NA,NA,NA,6980,NA,NA,111046910,8371,929583556006,4.91,70.25
"Poland","pol","pays",2021-11-13,2021,NA,NA,NA,NA,NA,59982,NA,NA,NA,NA,1587,16359,0.043,37797000,33477,1265331380483,4.65,78.71
"Portugal","prt","pays",2021-11-13,2021,NA,NA,NA,NA,NA,70611,NA,NA,NA,NA,6944,1751,0.017,10167923,33626,341901783772,5.01,82.2
"Qatar","qat","pays",2021-11-13,2021,NA,NA,NA,NA,NA,3300,NA,NA,NA,NA,1126,NA,NA,2930524,89352,261849576198,3.35,80.73
"Romania","rou","pays",2021-11-13,2021,13704556,NA,6792733,NA,93228,76961,71.65,NA,35.51,NA,4024,34081,0.178,19127772,30683,586902936094,4.81,75.7
"Russia","rus","pays",2021-11-13,2021,113186687,60561971,50991092,2410399,881678,637882,77.57,41.51,34.95,1.65,4372,385431,0.264,145912022,27197,3968310654075,3.83,72.81
"Rwanda","rwa","pays",2021-11-13,2021,NA,NA,NA,NA,NA,148221,NA,NA,NA,NA,11164,111448,0.839,13276517,2248,29843548535,4.45,69.74
"St. Kitts and Nevis","kna","pays",2021-11-13,2021,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,822,28,0.052,53546,20653,1105894447,8.89,NA
"St. Lucia","lca","pays",2021-11-13,2021,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,1377,104,0.056,184401,12769,2354642672,10.05,76.11
"St. Vincent and the Grenadines","vct","pays",2021-11-13,2021,NA,NA,NA,NA,NA,378,NA,NA,NA,NA,3397,186,0.167,111269,11928,1327224219,4.84,72.78
"Samoa","wsm","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1170,NA,NA,NA,NA,5846,867,0.433,200144,5721,1145017194,0.82,73.4
"San Marino","smr","pays",2021-11-13,2021,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,412,1,0.003,34010,56609,1925277576,3.06,NA
"Sao Tome and Principe","stp","pays",2021-11-13,2021,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,976,81,0.036,223364,3651,815604322,3.15,67.67
"Saudi Arabia","sau","pays",2021-11-13,2021,46672541,24388956,21976248,NA,35514,54883,132.06,69.01,62.18,NA,1553,14373,0.041,35340680,44534,1573877832885,1.99,77.43
"Senegal","sen","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1720,NA,NA,NA,NA,100,1164,0.007,17196308,3408,58608161608,3.16,69.16
"Serbia","srb","pays",2021-11-13,2021,NA,NA,NA,NA,NA,26178,NA,NA,NA,NA,3810,4255,0.062,8697547,19227,167231630840,4.92,76.31
"Seychelles","syc","pays",2021-11-13,2021,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,3579,26,0.026,98910,25346,2506924974,3.33,73.92
"Sierra Leone","sle","pays",2021-11-13,2021,NA,NA,NA,NA,NA,15412,NA,NA,NA,NA,1893,12026,0.148,8141343,1658,13500598872,1.38,62.14
"Singapore","sgp","pays",2021-11-13,2021,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,10,36,0.001,5896684,94610,557882618041,2.04,85.42
"Sint Maarten (Dutch part)","sxm","pays",2021-11-13,2021,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,714,16,0.037,NA,NA,NA,NA,NA
"Slovak Republic","svk","pays",2021-11-13,2021,4883547,2553939,2329608,NA,7008,5352,89.43,46.77,42.66,NA,980,4030,0.074,5460726,31634,172742263638,4.31,78.01
"Slovenia","svn","pays",2021-11-13,2021,2507744,1208514,1131029,168201,6642,14149,120.64,58.14,54.41,8.09,6807,1793,0.086,2078723,37825,78628339641,4.2,81.71
"Solomon Islands","slb","pays",2021-11-13,2021,NA,NA,NA,NA,NA,1518,NA,NA,NA,NA,2156,1044,0.148,703995,2477,1743452809,2.25,69.1
