"name","geo","region","continent","date","year","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","daily_vaccinations_per_million","daily_people_vaccinated","daily_people_vaccinated_per_hundred","population","income_per_person","gdp","growth_gdp_per_capita","life_expectancy"
"Afghanistan","afg","pays","Asia",2021-11-27,2021,5228706,4397449,3566192,NA,NA,15991,13.13,11.04,8.95,NA,401,16001,0.04,39835428,1950,77.66099125,2.17,64.74
"Africa","africa","continent",NA,2021-12-13,2021,268878232,171819640,111094516,633454,943951,2008262,19.58,12.51,8.09,0.05,1462,1512413,0.11,1371687302,4698,6443.655202262,1.5,67.2
"Albania","alb","pays","Europe",2021-12-13,2021,2206089,1105501,995500,105088,9944,7861,76.79,38.48,34.65,3.66,2736,2616,0.091,2872934,13950,40.078428539,4.17,78.7
"Algeria","dza","pays","Africa",2021-11-30,2021,12293060,6875003,5391232,NA,147230,35110,27.55,15.41,12.08,NA,787,23904,0.054,44616626,10735,478.970233056,1.01,78.49
"Andorra","and","pays","Europe",2021-12-05,2021,106428,56095,50333,NA,NA,54,137.59,72.52,65.07,NA,698,31,0.04,77354,63705,4.927820447,3.44,NA
"Angola","ago","pays","Africa",2021-12-09,2021,10319552,7003795,3315757,NA,NA,67442,30.41,20.64,9.77,NA,1987,60471,0.178,33933611,6060,205.63799611,-0.6,65.71
"Anguilla","aia","pays",NA,2021-12-08,2021,20284,10079,9223,982,NA,53,134.11,66.64,60.98,6.49,3504,6,0.04,NA,NA,NA,NA,NA
"Antigua and Barbuda","atg","pays","America North",2021-12-10,2021,119809,61921,57888,NA,NA,160,121.35,62.72,58.63,NA,1621,72,0.073,98728,17075,1.685787899,10.29,77.54
"Argentina","arg","pays","America South",2021-12-13,2021,71799106,37364854,31094824,3186673,291424,252452,157.43,81.93,68.18,6.99,5536,48454,0.106,45605823,20613,940.072982184,1.46,77.25
"Armenia","arm","pays","Europe",2021-12-12,2021,1452374,869750,582624,NA,NA,16305,48.93,29.3,19.63,NA,5493,5498,0.185,2968128,12745,37.828076148,3.54,76.18
"Aruba","abw","pays",NA,2021-12-13,2021,162443,83985,78458,NA,NA,62,151.54,78.35,73.19,NA,578,27,0.025,NA,NA,NA,NA,NA
"Asia","asia","continent",NA,2021-12-13,2021,5776968647,3021833760,2463274470,165208681,19836504,25605490,123.48,64.59,52.65,3.53,5473,6876359,0.147,4617906978,13520,62436.004910023,6.06,74.03
"Australia","aus","pays","Asia",2021-12-13,2021,40331164,20230376,19329106,771682,153523,84564,156.39,78.45,74.95,2.99,3279,15095,0.059,25788217,50130,1292.771256938,2.02,83
"Austria","aut","pays","Europe",2021-12-13,2021,15271012,6483905,6202258,2925650,75784,92049,168.87,71.7,68.59,32.35,10179,8817,0.098,9043072,53632,484.999571086,3.48,82.25
"Azerbaijan","aze","pays","Europe",2021-12-13,2021,10894080,5120575,4617228,1156277,8,27277,106.56,50.09,45.16,11.31,2668,3127,0.031,10223344,13773,140.804665584,0.49,71.28
"Bahamas","bhs","pays","America North",2021-12-10,2021,288008,154135,143672,NA,NA,712,72.56,38.83,36.2,NA,1794,221,0.056,396914,30985,12.298267893,7.3,74.34
"Bahrain","bhr","pays","Asia",2021-12-13,2021,3055893,1193306,1166321,NA,8542,8917,174.79,68.26,66.71,NA,5100,358,0.02,1748295,42277,73.912627833,1.13,80.02
"Bangladesh","bgd","pays","Asia",2021-12-13,2021,129852800,86522300,43330500,NA,1082530,3822997,78.08,52.03,26.06,NA,22988,3080541,1.852,166303494,5029,836.416089227,6.39,74.23
"Barbados","brb","pays","America North",2021-12-12,2021,294503,154524,139979,NA,199,315,102.36,53.71,48.65,NA,1095,70,0.024,287708,13347,3.840019377,7.43,77.57
"Belarus","blr","pays","Europe",2021-12-05,2021,6677937,3812391,2865546,NA,NA,49555,70.72,40.37,30.35,NA,5248,27652,0.293,9442867,19133,180.672822434,1.31,74.77
"Belgium","bel","pays","Europe",2021-12-13,2021,19979680,8870537,8744657,2785955,64699,85174,171.76,76.26,75.18,23.95,7322,1698,0.015,11632334,50103,582.820133539,2.65,82.02
"Belize","blz","pays","America North",2021-12-10,2021,416878,229107,196741,NA,NA,697,102.95,56.58,48.59,NA,1721,84,0.021,404915,5851,2.369315974,4.29,74.69
"Benin","ben","pays","Africa",2021-12-09,2021,1144390,1087430,877113,NA,NA,35237,9.19,8.73,7.04,NA,2830,34728,0.279,12451031,3330,41.45978579,3.11,65.9
"Bermuda","bmu","pays",NA,2021-12-10,2021,106520,46054,45029,15437,NA,148,171.55,74.17,72.52,24.86,2384,16,0.026,NA,NA,NA,NA,NA
"Bhutan","btn","pays","Asia",2021-12-05,2021,1154093,589482,564611,NA,NA,77,147.98,75.58,72.4,NA,99,38,0.005,779900,11289,8.804142012,4.65,75.34
"Bolivia","bol","pays","America South",2021-12-13,2021,9064726,5248232,4369239,430697,51617,38217,76.61,44.35,36.92,3.64,3230,14302,0.121,11832936,8249,97.61267628,2.68,73.85
"Bonaire Sint Eustatius and Saba","bes","pays",NA,2021-09-01,2021,35845,19109,16736,NA,NA,196,135.55,72.26,63.29,NA,7412,92,0.348,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","bih","pays","Europe",2021-11-04,2021,1553874,833233,720631,NA,NA,13791,47.61,25.53,22.08,NA,4226,5949,0.182,3263459,14765,48.184806971,3.66,77.29
"Botswana","bwa","pays","Africa",2021-12-09,2021,1483181,955135,528046,NA,NA,7585,61.87,39.84,22.03,NA,3164,4862,0.203,2397240,16813,40.305644596,3.24,70.17
"Brazil","bra","pays","America South",2021-12-13,2021,320737938,164935175,139783903,20966748,625488,745662,149.88,77.07,65.32,9.8,3485,47198,0.022,213993441,14390,3079.431355457,1.94,76.34
"British Virgin Islands","vgb","pays",NA,2021-12-03,2021,34992,18288,16704,NA,NA,19,115.02,60.11,54.91,NA,625,7,0.023,NA,NA,NA,NA,NA
"Brunei","brn","pays","Asia",2021-12-13,2021,786679,404959,381720,NA,3130,4292,178.17,91.72,86.45,NA,9721,73,0.017,441532,63588,28.076088275,2.31,75.9
"Bulgaria","bgr","pays","Europe",2021-12-13,2021,3506354,NA,1844599,NA,12013,13389,50.84,NA,26.75,NA,1941,NA,NA,6896655,23631,162.976949316,5.03,75.36
"Burkina Faso","bfa","pays","Africa",2021-11-23,2021,NA,442769,323767,NA,NA,NA,NA,2.06,1.51,NA,NA,4116,0.019,21497097,2161,46.465267772,2.23,63.32
"Burundi","bdi","pays","Africa",2021-12-12,2021,4010,2812,2076,NA,NA,168,0.03,0.02,0.02,NA,14,140,0.001,12255429,719,8.813046067,0.69,62.91
"Cambodia","khm","pays","Asia",2021-12-13,2021,29574392,14207542,13559316,2860685,72334,68617,174.52,83.84,80.01,16.88,4049,4326,0.026,16946446,4344,73.620827108,4.93,70.87
